msa,state,size_rank,hvi_2010,hvi_2011,hvi_2012,hvi_2013,hvi_2014,hvi_2015,hvi_2016,hvi_2017,hvi_2018,hvi_2019,hvi_2021,hvi_2022,hvi_2023,hvi_2024,area_name
"Easton, MD",MD,729,332992.3514532542,318356.1923887926,290945.9971949398,295438.64831532864,303255.85941058066,309538.4050985681,315630.82520893216,322472.37367960246,331413.2069474109,338801.1411114869,406240.0500235997,446993.92761057155,458499.3288309484,481253.34611363715,Easton
"Eau Claire, WI",WI,258,148861.55438807805,142826.92723151032,141181.062816514,146751.12524230484,152084.16329278317,157591.10887073094,165823.34222967338,176047.28012796133,187486.5525334162,199396.89404742443,244795.35893040872,271029.6516416551,285583.09791108564,299931.9142039688,Eau Claire
"Edwards, CO",CO,566,496834.73017389275,428330.38045565266,434672.7902373206,472130.61503670755,511636.5670861486,550425.976165655,591201.0171066638,624555.278356929,657720.4799532889,684119.4952501479,896218.5769896155,1111621.1918674198,1165059.535166921,1256294.5209145986,Edwards
"Effingham, IL",IL,771,125649.21113020572,123206.66719247513,124723.19663516815,128191.74834010843,130233.57768217857,134031.06074104516,137462.14443806565,143466.7047368892,149065.84047025125,156164.63650577472,175839.96417216526,199614.144804113,202827.98764804238,204474.57297306936,Effingham
"El Campo, TX",TX,685,127173.692004514,124812.81274989869,125452.24202790133,126068.1292185614,135923.01301234314,148999.68415988138,161843.1838998557,167612.63406183757,174161.51183877152,189075.289418114,219091.38509191378,238846.53126725744,233917.9517681542,232340.8746501412,El Campo
"El Centro, CA",CA,245,130488.79634360108,123714.71056411939,130833.16477051085,142480.17905655416,163046.1361594833,179568.89396923245,195493.64567292467,208117.01360611885,219633.24764562977,234887.5076298285,279729.36580441537,307083.0278580139,317355.40203269635,337478.9946302168,El Centro
"El Dorado, AR",AR,706,90007.24973092288,87313.67315288672,88767.10860302307,91878.8837938644,94071.73466083583,96252.52794922619,98100.44247876479,101468.26972493091,104557.46263499702,109452.2325026085,128650.6791033991,130963.90163902397,127571.97238186508,127199.28497633884,El Dorado
"El Paso, TX",TX,69,132238.58562835775,129382.45778069175,126158.24447464039,125069.00186949637,125049.54402864317,126958.37511515543,129620.57478732748,133977.65180241197,136162.2608449513,139576.74104547538,167871.09036771694,194257.03672474527,210129.73200336643,220386.13127401352,El Paso
"Elizabeth City, NC",NC,582,176384.8946042212,168587.1486102909,169023.07222225948,158479.33252051004,150277.16448895182,148836.966206714,148750.5693701855,148881.11816310827,159058.93220512348,161729.6314240807,196438.63267560455,222587.03037027022,234837.46230187998,248924.66887312196,Elizabeth City
"Elizabethtown, KY",KY,281,133915.57945817892,131315.5283042566,128999.34431182178,127934.24536378543,128941.28238390187,128839.75703618694,131247.14761474743,138516.66165235848,146745.02396635528,154117.19500013234,190027.14568312353,214741.7320943009,225229.23373416392,234067.39212466936,Elizabethtown
"Elk City, OK",OK,884,115520.93057922907,112226.59007149444,113731.6485713774,120561.84876863657,125578.72386559949,133453.84101262994,126650.8129620145,118562.84653465846,116648.52132639666,112566.96334193373,117506.7916194058,125886.93593758938,129308.0878198243,136344.0469558504,Elk City
"Elkhart, IN",IN,223,108697.0675973791,105400.74744900044,105755.41845625278,110409.43070404507,116413.71058273302,122099.28512415993,130464.86528604891,139728.87890668874,150285.7501644157,160600.15494616327,194361.86121397463,220551.2077311701,228705.12206064523,236382.52171075754,Elkhart
"Elkins, WV",WV,836,,,,,,,109819.63138651458,114292.09257255394,120709.8509966143,115715.17065057378,129694.10911313882,141833.97005347282,144088.57919258607,153311.05503858972,Elkins
"Elko, NV",NV,573,221211.66450375007,204799.99549113892,208393.5648509498,220683.51434652126,225408.95136617185,232730.4262068612,236960.50936995432,239965.1979144089,245143.0173380333,256089.82328865188,294747.0144508802,322941.87562250084,327248.93380292953,339270.21039780363,Elko
"Ellensburg, WA",WA,663,220812.3262235095,207037.83970472906,204223.1285097566,208917.90842741562,219251.21652523556,231696.18206134997,250327.0695470544,271262.49466191465,303935.33557754575,326514.7271266466,428022.18417801586,494276.131037696,491858.1091370222,489598.3309836425,Ellensburg
"Elmira, NY",NY,432,89226.18196717599,90592.47887209407,93794.10275012323,96667.7302927838,96308.98320587563,94831.68621482525,95962.06195081606,96875.1435371574,101390.38110299286,104672.11149756577,122853.66328047095,134138.59808227033,140206.74297221255,146399.83858801363,Elmira
"Emporia, KS",KS,767,97164.54446596472,94019.19283858877,95620.44403377581,94672.17738119222,97945.50617923024,100374.55862665658,101572.2814724756,105538.89330893377,109957.48841836647,117486.17435459494,145875.04354411984,160754.96013124523,166183.61934778944,176721.06036327037,Emporia
"Enid, OK",OK,523,84630.7638813199,82073.84182748658,82942.31065608584,85973.57979768208,89923.19690156706,95558.20204227779,103502.0924146053,105983.78856146401,105228.87360407121,105279.33150843259,115425.15200579078,123145.74395630138,126211.61152038077,131153.1494195419,Enid
"Enterprise, AL",AL,585,,,110149.26281441124,116609.40610900737,114522.26284246049,113072.23695576121,114911.63539765235,115382.17562462985,118651.42174630436,121320.99057313615,141411.0047476179,155252.73398301582,163266.30858058066,169969.83960754727,Enterprise
"Erie, PA",PA,184,116106.86689905908,115335.55067743051,116114.83283249392,118624.52778417268,119289.87127371674,119101.80567729955,122474.51763694698,125630.64945602941,127931.31470216339,131189.07994978537,155224.25188589256,170721.0578772341,181226.35610327972,194962.72800267852,Erie
"Escanaba, MI",MI,742,,96634.02256883739,102126.34266038844,108708.96141166099,102961.15132913816,104552.33056529071,106476.50179279443,107324.66720060776,113127.14224716414,116650.89582779472,140082.35010784765,152538.8074491331,161996.7799306536,170223.10496486395,Escanaba
"Espa-¦ola, NM",NM,693,,,193041.36885782945,195627.02057895777,199432.8088194631,196162.6794091545,203763.42476132777,209899.67922568915,216514.8362358466,228589.36418562089,286204.1773438686,304066.8924432988,301878.57287730643,313964.89603319083,Espa-¦ola
"Eugene, OR",OR,146,212585.24094838696,192676.56772154884,184905.38424588976,194398.06552824294,209203.98616244728,222019.66971749018,242045.9421138463,263856.4667985413,286660.9035092655,304400.65004210256,390102.544879673,438508.9711460177,441317.9790034545,446734.8269393528,Eugene
"Eureka, CA",CA,315,326666.50692103716,317508.71418718743,291567.01620423765,293726.90574270807,304426.9027867512,313815.24986549845,338041.861605953,367155.52775986906,385213.65569233516,402557.4154947057,450191.9828125546,492476.11056107905,474635.90582347964,456149.2835895684,Eureka
"Evanston, WY",WY,906,155630.6290014077,156837.221835839,163234.43934322664,170913.66134028358,171532.21355412604,174658.70444835155,179231.4261656933,180975.54863223128,184257.23419760843,191772.65965398573,233904.0395111239,276671.4324993875,292015.01508812216,298379.98002491234,Evanston
"Evansville, IN",IN,165,109310.23946519707,108453.1097910712,108738.74318814895,110278.7449988015,113253.25753806595,116452.34757150349,122092.02189661334,127693.66757855595,134076.12413882703,139729.84341937883,167777.88745016014,185811.31216826497,194526.70300942843,204970.5684467803,Evansville
"Fairbanks, AK",AK,407,223699.14333881563,224188.47284904716,223850.69498465033,222894.28880020182,219178.80544113382,223376.08831494054,232079.29590674452,241639.34132380816,250785.84468742504,263780.8630849159,283585.7998356268,298179.2925853575,294429.8894422482,299122.3751427051,Fairbanks
"Fairfield, IA",IA,930,88255.48237082701,88569.62265507023,92576.20481561763,102052.42258171947,108391.60310944387,111395.60506894445,116539.83964133942,119290.62513626211,124330.55903433937,127352.66252003098,146707.96674217263,166218.95577767305,164050.88399844008,169119.50543278342,Fairfield
"Fairmont, WV",WV,556,97842.21609230293,97247.79607476683,99455.29426912994,100548.18537465681,94172.6862477777,102288.42100544156,105497.8000302895,106993.931315166,113513.43317329232,117497.87989474535,138059.0181202447,146573.5776679992,150182.46531109573,152795.63435561562,Fairmont
"Fallon, NV",NV,863,138834.1415119126,122525.77474748935,121459.43773482031,134162.84613173743,147434.74763381717,160831.27972227443,178287.62090212642,197501.49166117326,224343.449800675,248745.6926406074,317521.6399043941,363522.6666042842,351674.02657319006,365992.4419303181,Fallon
"Fargo, ND",ND,194,185862.33580453272,181703.7874487772,175042.21425545693,182365.4069248013,192831.95201660137,210790.78156046817,228844.61075191022,236854.74749540046,238695.5705943815,246221.4475232912,268375.4212710064,291435.15498543455,299575.5954992983,305143.4368014178,Fargo
"Faribault, MN",MN,498,167407.99828359706,156176.5184854316,152677.84100733692,163541.8474970608,174004.56841131745,179934.7859798559,193479.04636862283,208637.13809422194,225405.53567558664,237351.02917542367,282114.02520421654,310289.1322219405,316438.43683003326,326232.2245848551,Faribault
"Farmington, MO",MO,495,,80035.95807580002,79877.5693489761,80762.23640560385,85602.76860271767,94024.83962779013,106354.44949556426,109595.24751508683,113607.5563510142,119319.98141587373,148143.0771924782,166501.2856533102,171785.99707809577,179339.78072130398,Farmington
"Farmington, NM",NM,342,154932.10941359572,156434.66952391755,157728.08956803358,161335.67202228002,166095.96372078176,174964.62969905976,173822.79405063545,178177.17696344302,181009.57600642406,187655.58690352723,202117.09185430224,223193.5751194003,235387.6539151167,248460.52237050285,Farmington
"Fayetteville, AR",AR,108,146697.64602012912,136760.5093320357,137658.98518376425,146652.95755206607,153609.86636530486,160066.35786923228,171634.8039054412,184580.86090880158,195375.57886833407,205479.10736499817,261213.10669337466,314565.60709212517,330386.327379474,344675.7616055365,Fayetteville
"Fayetteville, NC",NC,109,143528.7562412287,142926.43079334006,139259.44423258165,136095.26947981285,135124.45203705478,133479.9696470646,133284.9481302148,136512.9920467921,140643.37546751008,146524.75403450758,179045.64171623756,208119.42005253723,230861.66102469005,243676.11300105668,Fayetteville
"Fergus Falls, MN",MN,539,,,146424.6106369491,151702.35256072957,158122.46095541966,165981.94449617068,176385.6140449912,185862.68755063278,193875.4223886005,207602.0848356967,253619.77663843796,281397.5970248273,288669.89109104086,302484.672805732,Fergus Falls
"Fernley, NV",NV,550,121378.05872127226,106786.1463343668,106831.72821998406,129984.00141770644,155605.9110698641,173710.7886146732,200735.26643356925,227213.87105160396,263442.81712161854,284126.10953215515,363355.83823374886,414912.60148836515,389890.2727665742,400438.06827877834,Fernley
"Findlay, OH",OH,470,128991.82076636468,122355.11687142,117841.54487825668,118691.2223562759,123579.73653631304,129671.39657435163,136390.8154821574,142772.10277684056,149846.7747162681,154830.55852008634,184753.88683382844,201102.1048170372,208728.55098205642,222369.72265720073,Findlay
"Fitzgerald, GA",GA,923,73228.75212430955,68947.08813039573,66355.79015376754,68618.61397318172,67989.94967807147,65846.26608208184,68137.22985647847,67779.78120635885,72284.498255456,76386.42599960198,97674.29141007137,120689.44847922209,120779.44380201572,125413.5153621947,Fitzgerald
"Flagstaff, AZ",AZ,302,246538.20547613327,214039.83879818142,217212.3069466505,237275.98864285465,261591.8504970291,281697.1320289473,301053.04345081834,325987.1792829368,344252.57707096206,361599.4598416243,477381.0787985946,580218.5642040785,578751.2203704414,606114.518414781,Flagstaff
"Flint, MI",MI,135,60603.13298607029,50356.46882776831,51867.44260701537,60267.35657651899,68893.80386935383,76327.85526543763,84901.51082797204,94870.92409276204,105799.54961394583,115767.73082448156,148557.99553266497,162032.4122393537,165197.6662185402,175865.14463961308,Flint
"Florence, AL",AL,292,103901.36252931601,102149.97310102133,105286.56938933801,114972.20441383559,118572.3921112878,119126.53155441616,124331.32986716139,126941.3462837639,129852.29914763158,133725.41871985822,163916.31805756871,185485.44244445054,192977.03164389252,202306.2539308554,Florence
"Florence, SC",SC,228,110394.94291505421,106763.8971910077,108526.4914785117,109759.97957458229,112090.08176595543,112921.84522314464,116682.21511081078,117998.27125607023,122344.63190034934,127697.24225988465,151223.9597804465,170601.27080841153,176041.33350432335,181103.12949734993,Florence
"Fond du Lac, WI",WI,381,136188.2845951528,134747.9397497936,134471.25006020945,138425.5409618972,141894.77586687132,143168.47394845742,145628.81870124402,150805.55811410662,160421.41598288892,170396.26330910472,202658.62410029126,227304.03982351162,242760.58784905562,260872.91612384966,Fond du Lac
"Forest City, NC",NC,515,100480.31387827147,97012.65583409897,97900.74234771919,99405.73284119494,101137.61987925782,104047.16200169637,107380.59824906533,114513.78133470994,124217.66835111567,136919.96689253268,174834.9602170723,201108.95326096905,205479.15361799623,214845.02912320592,Forest City
"Forrest City, AR",AR,876,64330.106591186435,62713.759768966236,64043.69132376646,66160.35416255564,65582.85133708006,65205.63828012048,68627.46926743703,71008.05557456122,71473.86859592884,75760.58877122018,79974.80766210043,80617.55918807584,79660.69914443481,79321.918844047,Forrest City
"Fort Collins, CO",CO,152,237146.82622289142,233700.20224459597,238519.17002193676,253254.66950573554,271367.29318220285,303500.3267094354,338843.4965538468,367727.9460967931,389873.65105071553,407433.62270031427,477135.63640520844,548118.7596711175,544477.8114681087,550810.6296714387,Fort Collins
"Fort Leonard Wood, MO",MO,580,144277.03524994187,139716.68463431697,138346.77553164584,140632.5395140996,140308.3544701747,131444.81035821748,125666.79146065633,129785.24804857868,134342.315748874,135260.43149545614,160888.35383617406,180720.91372685335,193742.50921385022,205753.74058168256,Fort Leonard Wood
"Fort Madison, IA",IA,548,71382.58800271181,72186.00608223473,76065.8533248912,83726.74995994657,84929.18404320642,89314.36270820984,94517.20436649227,94212.3433433767,96264.5176334919,97602.84842750028,110217.31727787107,116209.77563243265,116540.48235504639,118293.01626567257,Fort Madison
"Fort Morgan, CO",CO,827,,,122695.77153118113,126896.85377784277,136658.0941091542,148712.73931341447,163167.24496740612,183397.36524319174,205468.28594104238,226695.43520431741,283240.7098928248,321915.80286453955,315800.50595198537,322370.3035670409,Fort Morgan
"Fort Polk South, LA",LA,611,125214.3337228473,130463.9085429057,131392.6992206202,144595.31006657967,156805.9355959184,159501.96171895138,154074.86239781085,148259.1716715873,140173.15860427739,147073.21960686936,159981.64066966827,167761.91106541172,165800.85144382835,163378.24207538224,Fort Polk South
"Fort Smith, AR",AR,196,117146.08704833547,113745.98558586015,113637.66897010412,111918.77588063038,111686.53967532364,113949.18980323552,118643.48873228177,121126.23495753773,125522.50956023391,132066.34810076945,157994.58065557235,178775.4046589505,183978.18422940167,189468.9850028026,Fort Smith
"Fort Wayne, IN",IN,132,108921.13405455957,106738.75629921397,106836.85171761386,108196.55117990427,111151.29879271548,114786.72216803841,121481.1003584435,128882.83466036401,138207.0786883368,149140.37635492353,185082.5899814848,209377.35227106223,223587.5694164059,238025.47385244808,Fort Wayne
"Frankfort, IN",IN,790,93240.6319092801,91738.9526285135,91129.28377507326,90954.42266048853,92934.73317450182,98410.72024864591,102058.00875556887,104787.53629650162,110745.2413913816,121631.11469088715,155700.49754165768,177668.35906792313,187013.4411309478,200004.85997373387,Frankfort
"Frankfort, KY",KY,471,124489.1483753074,121734.60714401955,121693.34153248534,119810.06971197732,120329.92658844194,124567.23290184699,129997.08625540987,133937.71841318317,139670.982279446,141878.1983718653,179264.61249161395,200140.2156070722,209945.51709937584,223673.93782997562,Frankfort
"Fredericksburg, TX",TX,847,225848.37155093648,223477.24256348354,227661.24875075615,237196.80815030096,249760.5273432162,265003.6556338917,290162.4575476664,322201.72569886025,355868.38828348345,353642.869460363,448813.7023882314,532233.961406577,519849.2183376451,517262.28759078385,Fredericksburg
"Freeport, IL",IL,657,66988.60843644418,63340.67080759999,64195.47076028396,60376.46473624487,63487.29333417161,70271.57712947426,73171.28716731667,74223.75093077404,80660.8683220051,87296.63504757665,106031.52761103136,120221.34725810599,125773.66603942064,134760.10385341142,Freeport
"Fremont, NE",NE,735,97019.32133043866,95690.63640529012,97454.63417136221,98525.65239144466,104873.94811564738,111238.18846466819,117057.22656685514,125705.88913028063,141667.14594095372,150027.06586484922,178942.45382036283,202484.7273785536,211723.1628607949,220854.5660685846,Fremont
"Fremont, OH",OH,541,104221.61349257328,100429.63055098469,98242.12134841655,97135.77629532827,97582.73542296361,100844.88427335239,103259.6346794797,106439.75545462979,111735.07744935401,117175.7595006244,139947.83063503218,151278.63376237397,160410.94266265913,171412.4203984939,Fremont
"Fresno, CA",CA,57,166676.74280104213,147616.06634528766,147412.9792634663,169083.85335912745,191057.41955865314,203004.1585300444,217987.35618273309,235307.3556907469,257140.57270094947,270665.2550476342,331816.02410031983,382470.4618981296,381446.7863481328,398036.7942582649,Fresno
"Gadsden, AL",AL,383,88869.04227468521,86716.52096040868,88226.02990430676,93625.7199905002,97418.7337584786,98435.39165346914,100395.81144167673,105182.92689602876,109998.16314829457,118124.71446085542,146829.51810097814,163944.39365330993,162352.56394919287,170183.55751097717,Gadsden
"Gaffney, SC",SC,558,94263.7491746249,89330.130440921,90949.63694995212,105479.19537400523,119421.46345799115,123658.47216639476,129485.29604763993,132070.43667579943,135801.6406234017,147723.50692175224,179733.03940887842,194327.56654923037,191217.6297453309,186235.40668110934,Gaffney
"Gainesville, FL",FL,155,161012.35716769713,143975.79249909057,136147.42087158244,139283.34995297596,146477.213139465,152842.11068783898,162392.31966341162,175304.20247111574,187956.06902758774,197172.3617586645,243880.13235359045,281999.31267784367,296396.3369026704,306313.3866816317,Gainesville
"Gainesville, GA",GA,226,157323.30762322107,137222.96494116454,137519.45779283557,148085.68876856766,166051.48925534016,178616.7411458655,193377.0938505424,206941.5579229213,220313.848158173,234100.057362218,296951.6391376907,360754.8264094072,373713.3707166586,391670.7707512227,Gainesville
"Gainesville, TX",TX,687,128428.07833638252,125880.54565365861,126858.62550667244,131968.25380964857,141034.0735411092,150890.11946085675,164380.30627491855,177464.86945761737,196095.32888152308,211901.54531684573,262301.4114859588,306615.6351947604,304933.4291397619,312840.55760995223,Gainesville
"Galesburg, IL",IL,600,73961.25446510153,73258.60469834643,75190.81288536133,78462.88163561533,80375.50639855476,80528.98723304602,81306.22045217497,81836.7597982607,82908.47108671717,88608.16329023166,97456.94190577179,97342.75509055793,94228.26880902825,100952.75512050556,Galesburg
"Gallup, NM",NM,480,,,152197.7649313498,152260.6427404787,154432.07536966357,157496.993742989,154107.0206227233,147385.22243730104,155528.490054094,166688.24145608695,196033.83557285694,203228.85025367863,203240.21397130427,208796.56551177867,Gallup
"Garden City, KS",KS,679,118580.34688140376,118665.1564550997,121322.9233004274,125177.216788504,128593.48631876124,135313.78819724554,140784.91213862065,145488.77944800173,151107.2060312093,158556.25221547353,188845.15324276837,210784.62410425558,219004.5723459586,222967.54720532792,Garden City
"Gardnerville Ranchos, NV",NV,610,275457.8604686445,246073.40925428472,243192.5678254915,274157.19661643956,315229.4578977443,339762.78780729184,364738.6789953069,393824.21213702625,432790.06522666616,469904.6501822581,617144.4549811307,696703.6225482577,652387.8724806148,659290.2909979551,Gardnerville Ranchos
"Georgetown, SC",SC,520,,,183575.23482177802,184607.79858618506,191779.09693401153,196993.86314187574,207559.16769160735,217453.71693218313,228038.0855170535,237522.81254014323,289401.19179167727,345475.87941406656,366139.70520412945,383746.2704622255,Georgetown
"Gettysburg, PA",PA,382,186229.42204541,180650.24924410295,182368.10021838776,185513.2413620161,187966.8584441326,189694.06753167487,195826.47107848618,204152.84980332918,211486.43954744635,217533.21251520255,257239.91380709174,280211.39097665437,291928.00940284744,306246.0769943252,Gettysburg
"Gillette, WY",WY,531,235888.93471021598,230601.4867982668,234719.86550187875,236362.27820680544,232670.85583112552,238602.4531317712,245001.1424356833,242246.50909024858,238285.33777760077,240572.40027511097,268755.65511547896,283403.26240377396,299345.8185697182,314294.5520138139,Gillette
"Glasgow, KY",KY,575,79359.64272575047,85288.57668350037,86595.22862420844,90003.48107180209,94662.24313566816,99815.41583064926,105704.74373908991,111754.66822022758,118612.11596650997,123750.93926499026,157978.11031212175,176915.73971940627,184670.04603613215,193254.4297959771,Glasgow
"Glens Falls, NY",NY,331,166805.65501384498,166209.56112683358,166424.17403810157,169787.6968868868,172212.64611415236,175195.83567609018,179430.13713362414,183943.9388318369,190257.14399843046,196103.97892875492,234726.8708690247,261780.92352227456,274543.69297577295,292203.79683636146,Glens Falls
"Glenwood Springs, CO",CO,456,341036.4156178536,332583.1492196556,339426.2195650762,369595.43266563653,405671.242551923,444321.0007766455,472233.66799549665,495794.2242309156,524466.7796342601,541978.9651890653,688919.8050968073,824348.400622835,854425.9505099306,913656.0297276295,Glenwood Springs
"Gloversville, NY",NY,579,111634.40000520402,110602.43089319307,111537.77810916539,111792.26401801231,110430.50264475653,111106.71448394033,116764.50145012693,124712.76564701497,127973.65802215197,131858.07934857212,166627.9133677843,183551.66832684734,188602.3264069954,201096.43064258093,Gloversville
"Goldsboro, NC",NC,350,105393.04690817308,102346.61976889899,104573.42450434847,103465.76307774619,106388.25233093459,109281.80481983884,114612.89808590196,119595.17671710956,124323.65774911294,128705.98104468318,149213.4256826841,167080.99139724366,176763.44628301857,184870.1572323202,Goldsboro
"Grand Forks, ND",MN,377,,,,162375.18968765202,172422.07373093138,185539.75196831863,197838.55490267684,201239.08235940957,202855.57096611508,204816.2797979134,220835.82672701924,235756.0265654282,239580.780791686,245305.92143976022,Grand Forks
"Grand Island, NE",NE,462,114014.77211958183,115020.00728821382,118868.1303740642,124436.27420850839,129901.10003327952,136212.92761748316,143485.2754999219,149035.11948539424,156595.85139392872,165251.33409969285,197142.56752309785,221850.30891016385,228354.55628612053,237815.46147726945,Grand Island
"Grand Junction, CO",CO,280,213181.567958012,188438.58468287936,180947.90325197158,190199.24603302698,195940.84018311405,203707.50294973052,215126.62779674007,227421.5099320748,246820.22073147798,266575.94227018376,335006.43379649037,382953.43257464835,391094.4662858785,407128.35554205795,Grand Junction
"Grand Rapids, MI",MI,53,128228.40999201867,122171.78361401056,124466.7632635474,135302.59923344653,146696.30162815357,156781.68485312053,171062.84498164343,187062.46205057073,201189.22958419172,213472.2419472991,264812.79570837534,298995.41346814256,308406.2257707989,323988.50701702345,Grand Rapids
"Grants Pass, OR",OR,422,184021.2310901631,170626.66791286602,168903.4895562118,180711.434982158,196792.5759718256,209636.467463752,229337.30990515408,253881.26673167208,277702.32952559757,284872.29442692193,362240.4593514149,394798.5396555462,384607.58763014915,387416.7766351215,Grants Pass
"Grants, NM",NM,845,,,,,,,93080.76691460778,84370.32171465173,89651.22921768737,96224.8500228615,119394.10934162598,135043.42240510098,136879.40141403594,140803.75732496445,Grants
"Great Bend, KS",KS,857,,,,,,,82802.20923181406,80253.63373092831,79917.01100460104,80062.02147861006,88477.51172989151,99136.54156970156,104129.85919831191,114963.70913440641,Great Bend
"Great Falls, MT",MT,433,152527.68817519283,149221.4252316651,153624.88103927166,156616.45224340007,160766.81622669447,165841.7213826898,171306.37494473046,175685.55728137176,182926.85584785556,191300.86684392582,230740.70967252817,270936.3028251858,287672.1704214108,306814.59785613295,Great Falls
"Greeley, CO",CO,161,178306.23580148094,172790.91642890434,181849.69135961027,200531.29085495297,224640.5980325484,261085.1195609245,292773.75931744085,323495.77232104057,352328.8379280229,371415.0772223591,445419.7572966783,510897.8684564056,499685.6218732227,501233.838751682,Greeley
"Green Bay, WI",WI,157,149358.65481242922,139266.5065394833,139025.98609333925,143214.60646166131,147110.89264357198,152846.37238766623,161493.53150975835,172970.7905104745,184241.49124754584,195470.33376520433,237990.96750191867,265064.14864105266,284591.0119013479,306162.39363076485,Green Bay
"Greeneville, TN",TN,486,102344.60796890478,100202.17991639026,97879.20928139162,98723.07461666806,100944.50358695384,111121.09685765534,117255.08524123339,122886.08791199363,128492.57194555462,139929.88719745536,178477.81963564514,205754.0130044823,215220.588024452,235460.6758831325,Greeneville
"Greensboro, NC",NC,76,124185.88133524504,118972.19153581823,117562.62295620311,120331.50302989337,124242.68890503598,127647.24374528443,133181.30280182892,140329.1724727356,149670.11984741478,161026.45886218981,200816.28039192423,228397.7900800736,240016.09082300504,250972.8656784984,Greensboro
"Greensburg, IN",IN,850,,,118226.03674194241,120814.51599059069,124082.03358495515,128446.05221251394,134082.05517904667,139993.4262391598,145261.08113119288,154717.7062474195,191477.44789822598,216412.46574487133,220950.97908706078,232855.97833306677,Greensburg
"Greenville, MS",MS,648,,,,,,,,,,96655.10525551107,94373.47475227505,90143.85418425353,70182.3266951246,70960.98093462517,Greenville
"Greenville, NC",NC,259,130434.19240751058,127366.03718816688,124722.22016576503,123744.30523391387,123383.76297025588,124120.25341323171,126014.46299227519,130366.71633463964,135809.7971916964,143136.12468960552,176416.62955457755,207999.8699904146,225920.9247022619,235533.03036825176,Greenville
"Greenville, OH",OH,593,109708.54721036581,104362.06194376915,107020.05906830942,122529.3525963122,131840.50896738167,136889.61542693822,125798.6240516617,110988.64328270835,115377.55031742163,125580.26750120538,153451.96898121215,169996.5681721001,178252.19623629228,190055.36573457113,Greenville
"Greenville, SC",SC,61,142360.98955805184,137547.66974770537,136601.14102673,140050.87675218208,145642.6547148675,152885.28739077036,163132.5861489009,173117.48459093206,185449.96950470263,194810.16465296422,236617.2598684016,277213.648150808,291991.8554576053,300986.62682693754,Greenville
"Greenwood, MS",MS,713,,,73059.33671583427,68790.04886900648,69359.61781755129,77467.95855015818,83275.8499615064,86435.3833765793,87078.46629162242,99148.13776964271,124034.69099446487,132192.13467981928,121483.42776634618,106159.80304185663,Greenwood
"Greenwood, SC",SC,488,82769.19148448446,79952.50391999574,82076.80906266355,86535.27809348775,88787.7324557326,93337.98652633945,99750.31047494525,99825.25934978422,104541.9203376237,112285.90915551917,140774.31171440452,159023.37752841553,167012.48040379694,171322.41514962298,Greenwood
"Grenada, MS",MS,894,,,,,,,87827.2567660131,86871.05804724547,87325.50758607317,94591.49651022426,114835.28881174489,122455.96746588795,115094.00967944767,117959.54299513136,Grenada
"Gulfport, MS",MS,133,123672.07548518927,121617.79229835712,114077.17432820731,112458.96707135068,116517.68686886178,124924.75487924529,133000.394696323,138835.7044263921,144957.4637608212,151237.03362070702,181464.76716352545,205135.5648115956,208771.0133282854,214491.95877261847,Gulfport
"Guymon, OK",OK,898,,,,,,,104812.23357170787,105028.5153385829,110718.43626432309,113427.65787774588,134343.34987868476,156813.80921984583,153141.7900820497,151296.28121848937,Guymon
"Hagerstown, MD",MD,170,171468.3839676247,153330.7253828889,155319.46105856542,163452.76566934868,169111.239927838,172386.58088218924,175526.13556005832,181947.65267625474,191381.4345616042,201247.74706113175,246811.55509142939,277389.2011676647,286431.0718312408,301059.62135254056,Hagerstown
"Hailey, ID",ID,866,361655.71225979825,321935.0045809544,312990.720997791,335586.81252155604,373335.0853500666,396969.9295256364,417970.1194144128,441908.8759639112,476563.4808466467,496156.27967377583,713917.0244947473,891418.4124159926,857870.1027150791,894165.3113756549,Hailey
"Hammond, LA",LA,325,161267.19767507477,154770.94418332557,157208.59737258125,160942.39588535525,167111.36804311496,182978.63862936266,192237.55645108418,190115.28486869347,186883.50024173383,190512.33248202383,217600.68808523976,236560.8284827534,226026.1910291193,217617.0961456194,Hammond
"Hanford, CA",CA,290,176869.50468434874,154582.7243378807,144655.45077771242,151740.0892734735,164719.35591785135,175054.87951368617,188337.90158048455,206662.4885965511,220888.12516400425,232254.16239233335,286384.73772418615,325267.2596865391,330030.6909795746,345777.9415260684,Hanford
"Hannibal, MO",MO,709,100272.84930478035,98796.48656087543,100921.50223166386,102960.13407131551,104929.024020027,114897.72034015844,118051.63486510562,117280.63344504595,120289.24662422993,124624.29245947463,150781.6122000465,171599.09331897387,176126.71192410728,187443.4360696503,Hannibal
"Harrisburg, PA",PA,99,175022.2377029272,169585.02171426048,168848.7591305093,169080.95144965695,170420.21844042095,172575.62267379105,177198.35852213085,182169.41059633638,187741.52540127517,194665.68250107564,229389.09347164107,254988.21510410847,271314.0714756023,284764.5172631358,Harrisburg
"Harrison, AR",AR,658,107323.35528194823,106908.31320194797,107373.53836139962,108109.49385260539,111116.33271759015,116870.68270465116,122250.40365024727,126196.89930027579,129785.95618726453,136477.64778635788,166211.26496280023,193504.7519160388,203260.45748762446,218729.19200825805,Harrison
